Country,web_search
Afghanistan,30
Albania,19
Algeria,14
Argentina,27
Armenia,7
Australia,100
Austria,34
Azerbaijan,8
Bahamas,35
Bahrain,22
Bangladesh,21
Barbados,72
Belarus,4
Belgium,46
Bolivia,13
Bosnia and Herzegovina,25
Brazil,39
Brunei,29
Bulgaria,27
Cambodia,14
Canada,86
Cayman Islands,71
Chile,34
China,3
Colombia,12
Costa Rica,25
Croatia,45
Cyprus,50
Czech Republic,50
Denmark,42
Dominican Republic,19
Ecuador,8
Egypt,6
El Salvador,13
Estonia,36
Ethiopia,9
Fiji,44
Finland,46
France,48
French Polynesia,33
Georgia,39
Germany,37
Ghana,22
Greece,71
Guadeloupe,17
Guam,67
Guatemala,8
Guernsey,67
Honduras,17
Hong Kong,19
Hungary,28
Iceland,91
India,19
Indonesia,10
Iran,20
Iraq,4
Ireland,75
Isle of Man,62
Israel,26
Italy,16
Jamaica,31
Japan,2
Jersey,54
Jordan,9
Kazakhstan,4
Kenya,24
Kosovo,18
Kuwait,16
Latvia,22
Lebanon,26
Libya,6
Lithuania,20
Luxembourg,28
Macedonia (FYROM),39
Malaysia,16
Maldives,52
Malta,48
Martinique,21
Mauritius,32
Mexico,20
Moldova,10
Mongolia,22
Montenegro,35
Morocco,15
Myanmar (Burma),8
Namibia,29
Nepal,31
Netherlands,50
New Caledonia,30
New Zealand,78
Nicaragua,11
Nigeria,18
Norway,76
Oman,11
Pakistan,28
Panama,23
Paraguay,16
Peru,10
Philippines,57
Poland,14
Portugal,38
Puerto Rico,37
Qatar,21
Romania,34
Russia,6
Saint Helena,29
Saudi Arabia,10
Senegal,22
Serbia,44
Singapore,41
Slovakia,23
Slovenia,33
South Africa,41
South Korea,13
Spain,18
Sri Lanka,30
Sudan,6
Sweden,64
Switzerland,30
Syria,7
Taiwan,6
Tanzania,10
Thailand,13
Trinidad and Tobago,63
Tunisia,16
Turkey,59
Uganda,20
Ukraine,5
United Arab Emirates,28
United Kingdom,78
United States,71
Uruguay,28
Venezuela,13
Vietnam,7
Zambia,18
Zimbabwe,18
